"Name","Amount","Casts","Hits","Avg Hit","Miss %","Mitigated","DTPS",""
"Zamlio","4547011$10.18%4.55m","17","15","303.1k","100.00%","26.33%","2,154.1",""
"Dumbus","4426702$9.91%4.43m","13","13","340.5k","-","17.25%","2,097.1",""
"Asylumn","4153258$9.30%4.15m","12","12","346.1k","-","15.89%","1,967.5",""
"Brisdk","4151833$9.29%4.15m","14","12","346.0k","-","15.92%","1,966.9",""
"Sevenseeker","3189057$7.14%3.19m","10","10","318.9k","-","22.50%","1,510.8",""
"Hikaryu","2944630$6.59%2.94m","9","9","327.2k","-","20.49%","1,395.0",""
"Nixiouswolfe","2621032$5.87%2.62m","8","8","327.6k","-","20.38%","1,241.7",""
"Nashydh","2203118$4.93%2.20m","8","8","275.4k","-","33.07%","1,043.7",""
"Yggydrassill","2144562$4.80%2.14m","6","6","357.4k","-","13.14%","1,016.0",""
"Mßp","2064141$4.62%2.06m","6","6","344.0k","-","16.39%","977.9",""
"Sandbox","1858956$4.16%1.86m","6","5","371.8k","100.00%","9.65%","880.7",""
"Asdroars","1708748$3.82%1.71m","5","5","341.7k","-","16.95%","809.5",""
"Densortepest","1694426$3.79%1.69m","5","5","338.9k","-","17.64%","802.7",""
"Armttk","1339587$3.00%1.34m","4","4","334.9k","-","18.61%","634.6",""
"Johaevoker","1283557$2.87%1.28m","4","4","320.9k","-","22.02%","608.1",""
"Huntérstorm","1238236$2.77%1.24m","4","4","309.6k","-","24.77%","586.6",""
"Wulfgår","1084057$2.43%1.08m","3","3","361.4k","-","12.18%","513.6",""
"Sommos","874244$1.96%874.2k","3","3","291.4k","-","40.98%","414.2",""
"Raâar","672391$1.51%672.4k","2","2","336.2k","-","31.91%","318.5",""
"Fibble","474374$1.06%474.4k","2","2","237.2k","-","42.36%","224.7",""